Rnd,Pick,Team,Player,Pos,College/Univ
4,126,CHI,Riley Ridley,WR,Georgia
4,127,BAL,Iman Marshall,CB,USC
4,128,DAL,Tony Pollard,RB,Memphis
4,129,OAK,Isaiah Johnson,CB,Houston
4,130,LAC,Drue Tranquill,LB,Notre Dame
4,131,WAS,Wes Martin,G,Indiana
4,132,SEA,Ugo Amadi,S,Oregon
4,133,NWE,Jarrett Stidham,QB,Auburn
4,134,LAR,Greg Gaines,DT,Washington
4,135,ATL,John Cominsky,DE,Charleston (WV)
4,136,CIN,Michael Jordan,G,Ohio St.
4,137,OAK,Foster Moreau,TE,LSU
4,138,PHI,Shareef Miller,DE,Penn St.
5,139,ARI,Deionte Thompson,S,Alabama
5,140,JAX,Ryquell Armstead,RB,Temple
5,141,PIT,Zach Gentry,TE,Michigan
5,142,SEA,Ben Burr-Kirven,LB,Washington
5,143,NYG,Ryan Connelly,LB,Wisconsin
5,144,IND,Marvell Tell III,S,USC
5,145,TAM,Matt Gay,K,Utah
5,146,DET,Amani Oruwariye,CB,Penn St.
5,147,BUF,Vosean Joseph,LB,Florida
5,148,SFO,Dre Greenlaw,LB,Arkansas
5,149,OAK,Hunter Renfrow,WR,Clemson
5,150,GNB,Kingsley Keke,DT,Texas A&M
5,151,MIA,Andrew Van Ginkel,LB,Wisconsin
5,152,ATL,Qadree Ollison,RB,Pittsburgh
5,153,WAS,Ross Pierschbacher,G,Alabama
5,154,CAR,Jordan Scarlett,RB,Florida
5,155,CLE,Mack Wilson,LB,Alabama
5,156,DEN,Justin Hollins,LB,Oregon
5,157,NYJ,Blake Cashman,LB,Minnesota
5,158,DAL,Michael Jackson,CB,Miami (FL)
5,159,NWE,Byron Cowart,DT,Maryland
5,160,BAL,Daylon Mack,DT,Texas A&M
5,161,HOU,Charles Omenihu,DE,Texas
5,162,MIN,Cameron Smith,LB,USC
5,163,NWE,Jake Bailey,P,Stanford
5,164,IND,E.J. Speed,LB,Tarleton St.
5,165,DAL,Joe Jackson,DE,Miami (FL)
5,166,LAC,Easton Stick,QB,North Dakota St.
5,167,PHI,Clayton Thorson,QB,Northwestern
5,168,TEN,D'Andre Walker,LB,Georgia
5,169,LAR,David Edwards,T,Wisconsin
5,170,CLE,Austin Seibert,K,Oklahoma
5,171,NYG,Darius Slayton,WR,Auburn
5,172,ATL,Jordan Miller,CB,Washington
5,173,WAS,Cole Holcomb,LB,North Carolina
6,174,ARI,KeeSean Johnson,WR,Fresno St.
6,175,PIT,Sutton Smith,DE,Northern Illinois
6,176,SFO,Kaden Smith,TE,Stanford
6,177,NOR,Saquan Hampton,S,Rutgers
6,178,JAX,Gardner Minshew II,QB,Washington St.
6,179,ARI,Lamont Gaillard,C,Georgia
6,180,NYG,Corey Ballentine,CB,Washburn
6,181,BUF,Jaquan Johnson,CB,Miami (FL)
6,182,CIN,Trayveon Williams,RB,Texas A&M
6,183,SFO,Justin Skule,T,Vanderbilt
6,184,DET,Travis Fulgham,WR,Old Dominion
6,185,GNB,Ka'dar Hollman,CB,Toledo
6,186,DET,Ty Johnson,RB,Maryland
6,187,DEN,Juwann Winfree,WR,Colorado
6,188,TEN,David Long,LB,West Virginia
6,189,CLE,Drew Forbes,T,SE Missouri St.
6,190,MIN,Armon Watts,DT,Arkansas
6,191,MIN,Marcus Epps,S,Wyoming
6,192,PIT,Isaiah Buggs,DT,Alabama
6,193,MIN,Oli Udoh,T,Elon
